term,course_id,title,catalog_url
FA26,ASTR:250,Astronomy and Astrophysics Colloquium,https://catalog.ucsd.edu/courses/ASTR.html#astr250
FA26,ASTR:251,Astronomy and Astrophysics Journal Club,https://catalog.ucsd.edu/courses/ASTR.html#astr251
FA26,ASTR:298,Directed Studies in Astronomy and Astrophysics,https://catalog.ucsd.edu/courses/ASTR.html#astr298
FA26,ASTR:500,Astronomical Teaching Training,https://catalog.ucsd.edu/courses/ASTR.html#astr500
FA26,AUD:236,Preceptorship in Neuro-Otology,https://catalog.ucsd.edu/courses/AUDL.html#aud236
FA26,AUD:257,Ear Diseases and Treatment,https://catalog.ucsd.edu/courses/AUDL.html#aud257
FA26,AUD:263,Physiological and Behavioral Tests of Vestibular Function,https://catalog.ucsd.edu/courses/AUDL.html#aud263
FA26,AUD:274,Advanced Technical Aspects of Hearing Amplification,https://catalog.ucsd.edu/courses/AUDL.html#aud274
FA26,AUD:284,Clinical Practice in Audiology II,https://catalog.ucsd.edu/courses/AUDL.html#aud284
FA26,AUD:291,Clinical Case Studies/Staffing,https://catalog.ucsd.edu/courses/AUDL.html#aud291
FA26,AUD:296,Research Practicum,https://catalog.ucsd.edu/courses/AUDL.html#aud296
FA26,AUD:298,Independent Research,https://catalog.ucsd.edu/courses/AUDL.html#aud298
FA26,AUD:299,Doctoral Project,https://catalog.ucsd.edu/courses/AUDL.html#aud299
FA26,AWP:3,Analytical Writing,https://catalog.ucsd.edu/courses/AWP.html#awp3
FA26,AWP:4B,Analytical Writing and Academic English B,https://catalog.ucsd.edu/courses/AWP.html#awp4b
FA26,BENG:1,Introduction to Bioengineering,https://catalog.ucsd.edu/courses/BENG.html#beng1
FA26,BENG:2,Introductory Computer Programming and MATLAB,https://catalog.ucsd.edu/courses/BENG.html#beng2
FA26,BENG:100,Introduction to Probability and Statistics for Bioengineers,https://catalog.ucsd.edu/courses/BENG.html#beng100
FA26,BENG:110,Musculoskeletal Biomechanics,https://catalog.ucsd.edu/courses/BENG.html#beng110
FA26,BENG:122A,Biosystems and Control,https://catalog.ucsd.edu/courses/BENG.html#beng122a
FA26,BENG:133,Numerical Analysis and Computational Engineering,https://catalog.ucsd.edu/courses/BENG.html#beng133
FA26,BENG:135,Biomedical Signals and Systems,https://catalog.ucsd.edu/courses/BENG.html#beng135
FA26,BENG:141,Biomedical Optics and Imaging,https://catalog.ucsd.edu/courses/BENG.html#beng141
FA26,BENG:152,Biosystems Engineering Laboratory,https://catalog.ucsd.edu/courses/BENG.html#beng152
FA26,BENG:161A,Bioreactor Engineering,https://catalog.ucsd.edu/courses/BENG.html#beng161a
FA26,BENG:162,Biotechnology Laboratory,https://catalog.ucsd.edu/courses/BENG.html#beng162
FA26,BENG:166A,Cell and Tissue Engineering,https://catalog.ucsd.edu/courses/BENG.html#beng166a
FA26,BENG:168,Biomolecular Engineering,https://catalog.ucsd.edu/courses/BENG.html#beng168
FA26,BENG:183,Applied Genomic Technologies,https://catalog.ucsd.edu/courses/BENG.html#beng183
FA26,BENG:186A,Principles of Biomaterials Design,https://catalog.ucsd.edu/courses/BENG.html#beng186a
FA26,BENG:187B,Bioengineering Design Project: Development,https://catalog.ucsd.edu/courses/BENG.html#beng187b
FA26,BENG:188A,Design Development in Bioengineering,https://catalog.ucsd.edu/courses/BENG.html#beng188a
FA26,BENG:195P,Pedagogy and Learning Apprenticeship,https://catalog.ucsd.edu/courses/BENG.html#beng195p
FA26,BENG:196,Bioengineering Industrial Internship,https://catalog.ucsd.edu/courses/BENG.html#beng196
FA26,BENG:197,Engineering Internship,https://catalog.ucsd.edu/courses/BENG.html#beng197
FA26,BENG:199,Independent Study for Undergraduates,https://catalog.ucsd.edu/courses/BENG.html#beng199
FA26,BENG:207,Topics in Bioengineering,https://catalog.ucsd.edu/courses/BENG.html#beng207
FA26,BENG:216,Neuromorphic Integrated Bioelectronics,https://catalog.ucsd.edu/courses/BENG.html#beng216
FA26,BENG:219,Data Science for Multiscale Biology,https://catalog.ucsd.edu/courses/BENG.html#beng219
FA26,BENG:221,Mathematical Methods for Bioengineering,https://catalog.ucsd.edu/courses/BENG.html#beng221
FA26,BENG:226,Foundations of Bioengineering I: Tissue and Cell Properties,https://catalog.ucsd.edu/courses/BENG.html#beng226
FA26,BENG:230B,Cell and Molecular Biology,https://catalog.ucsd.edu/courses/BENG.html#beng230b
FA26,BENG:241A,Tissue Engineering and Regenerative Medicine: Foundations,https://catalog.ucsd.edu/courses/BENG.html#beng241a
FA26,BENG:242,Polymer Science and Engineering,https://catalog.ucsd.edu/courses/BENG.html#beng242
FA26,BENG:247A,Advanced Biophotonics,https://catalog.ucsd.edu/courses/BENG.html#beng247a
FA26,BENG:254,Synthetic Biology,https://catalog.ucsd.edu/courses/BENG.html#beng254
FA26,BENG:280A,Principles of Biomedical Imaging,https://catalog.ucsd.edu/courses/BENG.html#beng280a
FA26,BENG:281,Seminar in Bioengineering,https://catalog.ucsd.edu/courses/BENG.html#beng281
FA26,BENG:282,Seminar: Faculty Research,https://catalog.ucsd.edu/courses/BENG.html#beng282
FA26,BENG:292,Scientific Ethics,https://catalog.ucsd.edu/courses/BENG.html#beng292
FA26,BENG:294A,Patient-Centered Clinical Medicine for Bioengineers,https://catalog.ucsd.edu/courses/BENG.html#beng294a
FA26,BENG:295,Bioengineering Design Project and Industrial Training,https://catalog.ucsd.edu/courses/BENG.html#beng295
FA26,BENG:298L,Laboratory Research Rotation,https://catalog.ucsd.edu/courses/BENG.html#beng298l
FA26,BENG:299,Graduate Research,https://catalog.ucsd.edu/courses/BENG.html#beng299
FA26,BENG:501,Teaching Experience,https://catalog.ucsd.edu/courses/BENG.html#beng501
FA26,BGGN:202,Professional Development for Biologists,https://catalog.ucsd.edu/courses/BIOL.html#bggn202
FA26,BGGN:207,Scientific Ethics,https://catalog.ucsd.edu/courses/BIOL.html
FA26,BGGN:208,Biological Sciences Graduate Boot Camp,https://catalog.ucsd.edu/courses/BIOL.html#bggn208
FA26,BGGN:213,Foundations of Bioinformatics,https://catalog.ucsd.edu/courses/BIOL.html#bggn213
FA26,BGGN:220,Graduate Molecular Biology,https://catalog.ucsd.edu/courses/BIOL.html#bggn220
FA26,BGGN:245,Advanced Topics in Cancer Research and Therapy,https://catalog.ucsd.edu/courses/BIOL.html#bggn245
FA26,BGGN:249A,Basic Neuroscience,https://catalog.ucsd.edu/courses/BIOL.html#bggn-249c
FA26,BGGN:271,Advanced Experimental Methods in Biology,https://catalog.ucsd.edu/courses/BIOL.html#bggn271
FA26,BGGN:275,Lab Methodology,https://catalog.ucsd.edu/courses/BIOL.html#bggn275
FA26,BGGN:276,Lab Analysis,https://catalog.ucsd.edu/courses/BIOL.html#bggn276
FA26,BGGN:294,Transitional Laboratory Projects in Biology,https://catalog.ucsd.edu/courses/BIOL.html#bggn294
FA26,BGGN:298,Laboratory Projects in Biology,https://catalog.ucsd.edu/courses/BIOL.html#bggn298
FA26,BGGN:299,Thesis Research in Biology,https://catalog.ucsd.edu/courses/BIOL.html#bggn299
FA26,BGJC:204,Cellular and Molecular Immunology,https://catalog.ucsd.edu/courses/BIOL.html#bgjc204
FA26,BGJC:215,Journal Club in Biology Education Research,https://catalog.ucsd.edu/courses/BIOL.html#bgjc215
FA26,BGSE:200,Seminar in Biology,https://catalog.ucsd.edu/courses/BIOL.html#bgse200
FA26,BGSE:205,Graduate Research Seminar,https://catalog.ucsd.edu/courses/BIOL.html#bgse205
FA26,BIBC:100,Structural Biochemistry,https://catalog.ucsd.edu/courses/BIOL.html#bibc100
FA26,BIBC:102,Metabolic Biochemistry,https://catalog.ucsd.edu/courses/BIOL.html#bibc102
FA26,BIBC:103,Biochemical Techniques,https://catalog.ucsd.edu/courses/BIOL.html#bibc103
FA26,BICD:100,Genetics,https://catalog.ucsd.edu/courses/BIOL.html#bicd100
FA26,BICD:110,Cell Biology,https://catalog.ucsd.edu/courses/BIOL.html#bicd110
